id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,,No expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Lỗi gọi Gemini API: 403 Request had insufficient authentication scopes. [reason: ""ACCESS_TOKEN_SCOPE_INSUFFICIENT""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""method""
  value: ""google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent""
}
]","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",,TODO: Chấm thủ công hoặc implement LLM-as-Judge,,TODO: Implement score_answer_relevance,5,Retrieved: 1/1 expected sources,,TODO: Implement score_completeness (so sánh với expected_answer),baseline_dense
